Course_Name,Rating,Organization,Link,About,Skills
Intro to Physics,beginner2 Months,School of Programming & Development,https://www.udacity.com//course/intro-to-physics--ph100,"Go to the places where big physics discoveries were made in the past and make them yourself. You’ll visit Italy, the Netherlands, and the UK as you learn basic physics.","Kinematics, Dynamics, Trigonometry, Periodic Motion, Electricity"
Intro to Relational Databases,intermediate4 Weeks,School of Programming & Development,https://www.udacity.com//course/intro-to-relational-databases--ud197,Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.,"Rational databases, SQL, Python API, Python DB-API, Select and insert statements"
ES6 - JavaScript Improved,advanced4 Weeks,School of Programming & Development,https://www.udacity.com//course/es6-javascript-improved--ud356,Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.,"JavaScript, ES6, Syntax, Functions"
Mobile Design and Usability for iOS,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/mobile-design-and-usability-for-ios--ud1034,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.","Product Design, Prototyping"
Intro to AJAX,intermediate2 Weeks,School of Programming & Development,https://www.udacity.com//course/intro-to-ajax--ud110,"Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!","Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization"
Intro to Algorithms,intermediate4 Months,School of Programming & Development,https://www.udacity.com//course/intro-to-algorithms--cs215,"This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected.","Algorithms, Social Networks, Graph Algorithms"
The MVC Pattern in Ruby,intermediate1 Week,School of Programming & Development,https://www.udacity.com//course/the-mvc-pattern-in-ruby--ud270,"In this course you’ll learn how to organize your code, and why that’s important. You’ll be using the MVC Design Pattern in the web application micro-framework Sinatra.","Ruby, Sinatra, MVC Design Pattern, Writing organized code"
WeChat Mini Program Development,beginner4 Weeks,School of Programming & Development,https://www.udacity.com//course/wechat-mini-programs--ud667,"Developed by Tencent and Udacity, this course will teach you to build your first Mini Program.",
Asynchronous JavaScript Requests,intermediate3 Weeks,School of Programming & Development,https://www.udacity.com//course/asynchronous-javascript-requests--ud109,Learn how to asynchronously request data in your web applications with Ajax.,"Asynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with Fetch"
Embedded Systems,intermediate16 Weeks,School of Programming & Development,https://www.udacity.com//course/embedded-systems--ud169,"This course takes a holistic view of the embedded system stack focusing on processor architectures, instruction sets, and the associated advanced compiler optimizations.","VLIW Architecture, Compilers for Embedded Systems, Differential Register Allocation, Network Processors, Multithreaded Processing"
High Performance Computing,advanced4 Months,School of Programming & Development,https://www.udacity.com//course/high-performance-computing--ud281,"This course will give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms.  Offered at Georgia Tech as CS6220","Shared Memory Models, Parallel Algorithms, Distributed Memory Models, Message Passing Interfaces, Hierarchical Memory Models"
HTTP & Web Servers,intermediate1 Week,School of Programming & Development,https://www.udacity.com//course/http-web-servers--ud303,HTTP is the fundamental protocol of the Web. Explore how it works using Python code and command-line tools.,"HTTP, Python, Deploying services"
Advanced Android with Kotlin,intermediate2 Months,School of Programming & Development,https://www.udacity.com//course/advanced-android-with-kotlin--ud940,Develop Feature-Rich Android Apps with the Kotlin Programming Language.,"Kotlin, Android"
"Computability, Complexity & Algorithms",advanced,School of Programming & Development,https://www.udacity.com//course/computability-complexity-algorithms--ud061,Learn tools and techniques that will help you recognize when problems you encounter are intractable and when there an efficient solution.,
Advanced Operating Systems,advanced5 Weeks,School of Programming & Development,https://www.udacity.com//course/advanced-operating-systems--ud189,,"Operating System Kernels, Virtualization, Distributed Systems, Cloud Computing, Real-Time Operating Systems"
